Año,Mes,Tipo de delito,Numero de delitos por cada tipo 
2022,Enero,ROBO DE VEHICULO,241
2022,Enero,ROBO A CUENTAHABIENTE,2
2022,Enero,ROBO NEGOCIO,111
2022,Enero,ROBO PERSONA,52
2022,Enero,HOMICIDIOS DOLOSOS,23
2022,Enero,PRIVACION ILEGAL DE LA LIBERTAD,8
2022,Enero,EXTORSION TELEFONICA,1
2022,Febrero,ROBO DE VEHICULO,205
2022,Febrero,ROBO A CUENTAHABIENTE,2
2022,Febrero,ROBO NEGOCIO,83
2022,Febrero,ROBO PERSONA,30
2022,Febrero,HOMICIDIOS DOLOSOS,18
2022,Febrero,PRIVACION ILEGAL DE LA LIBERTAD,10
2022,Febrero,EXTORSION TELEFONICA,3
2022,Marzo,ROBO DE VEHICULO,201
2022,Marzo,ROBO A CUENTAHABIENTE,3
2022,Marzo,ROBO NEGOCIO,93
2022,Marzo,ROBO PERSONA,48
2022,Marzo,HOMICIDIOS DOLOSOS,14
2022,Marzo,PRIVACION ILEGAL DE LA LIBERTAD,11
2022,Marzo,EXTORSION TELEFONICA,4
2022,Abril,ROBO DE VEHICULO,206
2022,Abril,ROBO A CUENTAHABIENTE,3
2022,Abril,ROBO NEGOCIO,77
2022,Abril,ROBO PERSONA,44
2022,Abril,HOMICIDIOS DOLOSOS,9
2022,Abril,PRIVACION ILEGAL DE LA LIBERTAD,3
2022,Abril,EXTORSION TELEFONICA,6
2022,Mayo,ROBO DE VEHICULO,206
2022,Mayo,ROBO A CUENTAHABIENTE,3
2022,Mayo,ROBO NEGOCIO,77
2022,Mayo,ROBO PERSONA,44
2022,Mayo,HOMICIDIOS DOLOSOS,9
2022,Mayo,PRIVACION ILEGAL DE LA LIBERTAD,3
2022,Mayo,EXTORSION TELEFONICA,6
2022,Junio,ROBO DE VEHICULO,225
2022,Junio,ROBO A CUENTAHABIENTE,2
2022,Junio,ROBO NEGOCIO,107
2022,Junio,ROBO PERSONA,40
2022,Junio,HOMICIDIOS DOLOSOS,23
2022,Junio,PRIVACION ILEGAL DE LA LIBERTAD,37
2022,Junio,EXTORSION TELEFONICA,6
2022,Julio,ROBO DE VEHICULO,241
2022,Julio,ROBO A CUENTAHABIENTE,8
2022,Julio,ROBO NEGOCIO,89
2022,Julio,ROBO PERSONA,57
2022,Julio,HOMICIDIOS DOLOSOS,18
2022,Julio,PRIVACION ILEGAL DE LA LIBERTAD,9
2022,Julio,EXTORSION TELEFONICA,3
2022,Agosto,ROBO DE VEHICULO,246
2022,Agosto,ROBO A CUENTAHABIENTE,5
2022,Agosto,ROBO NEGOCIO,70
2022,Agosto,ROBO PERSONA,67
2022,Agosto,HOMICIDIOS DOLOSOS,18
2022,Agosto,PRIVACION ILEGAL DE LA LIBERTAD,16
2022,Agosto,EXTORSION TELEFONICA,5
2022,Septiembre,ROBO DE VEHICULO,216
2022,Septiembre,ROBO A CUENTAHABIENTE,5
2022,Septiembre,ROBO NEGOCIO,72
2022,Septiembre,ROBO PERSONA,106
2022,Septiembre,HOMICIDIOS DOLOSOS,21
2022,Septiembre,PRIVACION ILEGAL DE LA LIBERTAD,17
2022,Septiembre,EXTORSION TELEFONICA,7
2022,Octubre,ROBO DE VEHICULO,281
2022,Octubre,ROBO A CUENTAHABIENTE,4
2022,Octubre,ROBO NEGOCIO,88
2022,Octubre,ROBO PERSONA,101
2022,Octubre,HOMICIDIOS DOLOSOS,23
2022,Octubre,PRIVACION ILEGAL DE LA LIBERTAD,14
2022,Octubre,EXTORSION TELEFONICA,9
2022,Noviembre,ROBO DE VEHICULO,284
2022,Noviembre,ROBO A CUENTAHABIENTE,6
2022,Noviembre,ROBO NEGOCIO,77
2022,Noviembre,ROBO PERSONA,105
2022,Noviembre,HOMICIDIOS DOLOSOS,8
2022,Noviembre,PRIVACION ILEGAL DE LA LIBERTAD,9
2022,Noviembre,EXTORSION TELEFONICA,8
2022,Diciembre,ROBO DE VEHICULO,232
2022,Diciembre,ROBO A CUENTAHABIENTE,0
2022,Diciembre,ROBO NEGOCIO,64
2022,Diciembre,ROBO PERSONA,97
2022,Diciembre,HOMICIDIOS DOLOSOS,10
2022,Diciembre,PRIVACION ILEGAL DE LA LIBERTAD,85
2022,Diciembre,EXTORSION TELEFONICA,8
